nama_kabupaten_kota,tahun,jumlah_produksi_sampah
KABUPATEN BOGOR,2021,971.59
KABUPATEN SUKABUMI,2021,356.02
KABUPATEN CIANJUR,2021,355.69
KABUPATEN BANDUNG,2021,1489.04
KABUPATEN GARUT,2021,321.17
KABUPATEN TASIKMALAYA,2021,172.26
KABUPATEN CIAMIS,2021,159.41
KABUPATEN KUNINGAN,2021,405.76
KABUPATEN CIREBON,2021,242.52
KABUPATEN MAJALENGKA,2021,546.54
KABUPATEN SUMEDANG,2021,707.75
KABUPATEN INDRAMAYU,2021,792.48
KABUPATEN SUBANG,2021,739.6
KABUPATEN PURWAKARTA,2021,239.72
KABUPATEN KARAWANG,2021,614.61
KABUPATEN BEKASI,2021,1193.76
KABUPATEN BANDUNG BARAT,2021,201.09
KABUPATEN PANGANDARAN,2021,46.62
KOTA BOGOR,2021,719.72
KOTA SUKABUMI,2021,232.06
KOTA BANDUNG,2021,1529.04
KOTA CIREBON,2021,229.75
KOTA BEKASI,2021,1500.77
KOTA DEPOK,2021,1418.87
KOTA CIMAHI,2021,193.36
KOTA TASIKMALAYA,2021,295.87
KOTA BANJAR,2021,60.29
